candidate,percent_voters,number_voters
Янукович Віктор Федорович,35.32,8686642
Тимошенко Юлія Володимирівна,25.05,6159810
Тігіпко Сергій Леонідович,13.05,3211198
Яценюк Арсеній Петрович,6.96,1711737
Ющенко Віктор Андрійович,5.45,1341534
Симоненко Петро Миколайович,3.54,872877
Литвин Володимир Михайлович,2.35,578883
Тягнибок Олег Ярославович,1.43,352282
Гриценко Анатолій Степанович,1.2,296412
Богословська Інна Германівна,0.41,102435
Мороз Олександр Олександрович,0.38,95169
Костенко Юрій Іванович,0.22,54376
Супрун Людмила Павлівна,0.19,47349
Противсіх Василь Васильович,0.16,40352
Пабат Олександр Вікторович,0.14,35474
Ратушняк Сергій Миколайович,0.12,29795
Бродський Михайло Юрійович,0.06,14991
Рябоконь Олег Васильович,0.03,8334
